order,file_path,thumbnail,capture_uuid,page_uri,book_uri,source_rotated,width,height,source_x,source_y,source_w,source_h
2071,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2072/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2072/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2071,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2071,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3672,4547,0,0,3672,4547
2072,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2073/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2073/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2072,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2072,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3520,4550,0,0,3520,4550
2073,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2074/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2074/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2073,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2073,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3672,4546,0,0,3672,4546
2074,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2075/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2075/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2074,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2074,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3513,4549,0,0,3513,4549
2075,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2076/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2076/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2075,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2075,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3680,4547,0,0,3680,4547
2076,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2077/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2077/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2076,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2076,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3519,4551,0,0,3519,4551
2077,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2078/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2078/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2077,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2077,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3664,4545,0,0,3664,4545
2078,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2079/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2079/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2078,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2078,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3514,4549,0,0,3514,4549
2079,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2080/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2080/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2079,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2079,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3672,4545,0,0,3672,4545
2080,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2081/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2081/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2080,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2080,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,3519,4549,0,0,3519,4549
